contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type,expiration,spot_price,expiration_date,days_to_expiration,T,moneyness
SPY251003C00375000,2025-10-03 17:21:20+00:00,375.0,295.78,292.49,295.3,5.4299927,1.8701541,103.0,103,5.435550080566405,True,REGULAR,USD,call,2025-10-03,669.2100219726562,2025-10-03,-1,-0.0027397260273972603,1.78456005859375
SPY251003C00490000,2025-09-19 14:43:01+00:00,490.0,172.35,177.49,180.3,0.0,0.0,2.0,2,3.161134909667969,True,REGULAR,USD,call,2025-10-03,669.2100219726562,2025-10-03,-1,-0.0027397260273972603,1.3657347387197067
SPY251003C00495000,2025-09-26 14:19:14+00:00,495.0,165.03,172.49,175.3,0.0,0.0,2.0,3,3.0732445043945313,True,REGULAR,USD,call,2025-10-03,669.2100219726562,2025-10-03,-1,-0.0027397260273972603,1.3519394383285985
SPY251003C00500000,2025-10-03 16:15:17+00:00,500.0,172.44,167.49,170.3,6.8099976,4.1115723,16.0,19,2.9853540991210936,True,REGULAR,USD,call,2025-10-03,669.2100219726562,2025-10-03,-1,-0.0027397260273972603,1.3384200439453124
SPY251003C00510000,2025-10-03 15:10:01+00:00,510.0,161.8,157.49,160.3,12.070007,8.061182,2.0,2,2.8115264086914067,True,REGULAR,USD,call,2025-10-03,669.2100219726562,2025-10-03,-1,-0.0027397260273972603,1.312176513671875
SPY251003C00515000,2025-09-18 18:14:38+00:00,515.0,147.75,152.49,155.3,0.0,0.0,1.0,0,2.7255891235351566,True,REGULAR,USD,call,2025-10-03,669.2100219726562,2025-10-03,-1,-0.0027397260273972603,1.2994369358692355
SPY251003C00550000,2025-09-30 20:09:51+00:00,550.0,122.02,117.49,120.3,6.399994,5.535369,1.0,3,2.138676528320312,True,REGULAR,USD,call,2025-10-03,669.2100219726562,2025-10-03,-1,-0.0027397260273972603,1.2167454944957385
SPY251003C00555000,2025-09-18 19:54:27+00:00,555.0,107.74,112.49,115.3,0.0,0.0,13289.0,0,2.0561572033691404,True,REGULAR,USD,call,2025-10-03,669.2100219726562,2025-10-03,-1,-0.0027397260273972603,1.2057838233741554
SPY251003C00558000,2025-09-26 16:17:05+00:00,558.0,101.68,109.49,112.3,0.0,0.0,2.0,1,2.0068409204101565,True,REGULAR,USD,call,2025-10-03,669.2100219726562,2025-10-03,-1,-0.0027397260273972603,1.1993011146463373
SPY251003C00560000,2025-10-03 17:55:04+00:00,560.0,108.77,107.5,110.3,0.0799942,0.07359849,9.0,13,1.9746095019531251,True,REGULAR,USD,call,2025-10-03,669.2100219726562,2025-10-03,-1,-0.0027397260273972603,1.1950178963797433
