contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type,expiration,spot_price,expiration_date,days_to_expiration,T,moneyness,bid_ask_spread,spread_pct
SPY251006C00607000,2025-09-26 14:50:19+00:00,607.0,52.09,60.59,63.4,0.0,0.0,10.0,10,0.6184120190429689,True,REGULAR,USD,call,2025-10-06,669.2100219726562,2025-10-06,2,0.0054794520547945,1.1024876803503398,2.809999999999995,0.05394509502783634
SPY251006C00620000,2025-10-03 19:10:02+00:00,620.0,49.91,47.6,50.41,6.329998,14.525006,459.0,1,0.5122119091796875,True,REGULAR,USD,call,2025-10-06,669.2100219726562,2025-10-06,2,0.0054794520547945,1.0793710031817036,2.809999999999995,0.056301342416349334
SPY251006C00639000,2025-10-02 15:17:15+00:00,639.0,32.33,28.64,31.45,3.5100021,12.1790495,30.0,50,0.354376573486328,True,REGULAR,USD,call,2025-10-06,669.2100219726562,2025-10-06,2,0.0054794520547945,1.0472770296911678,2.8099999999999987,0.0869161769254562
SPY251006C00640000,2025-10-03 19:36:27+00:00,640.0,30.09,27.65,30.45,0.8500004,2.9069781,10.0,7,0.3455875988769531,True,REGULAR,USD,call,2025-10-06,669.2100219726562,2025-10-06,2,0.0054794520547945,1.0456406593322751,2.8000000000000007,0.09305417082087075
SPY251006C00654000,2025-10-03 14:41:26+00:00,654.0,16.46,15.07,15.21,0.86999893,5.5804935,11.0,295,0.062509375,True,REGULAR,USD,call,2025-10-06,669.2100219726562,2025-10-06,2,0.0054794520547945,1.0232569143312786,0.14000000000000057,0.008505467800729074
SPY251006C00655000,2025-10-03 20:02:41+00:00,655.0,14.23,14.08,14.22,-0.8000002,-5.322689,199.0,274,0.08008732421875,True,REGULAR,USD,call,2025-10-06,669.2100219726562,2025-10-06,2,0.0054794520547945,1.0216946900345898,0.14000000000000057,0.009838369641602288
SPY251006C00657000,2025-10-03 19:54:50+00:00,657.0,12.82,12.14,12.25,-0.39000034,-2.9523115,137.0,522,0.08399353515625,True,REGULAR,USD,call,2025-10-06,669.2100219726562,2025-10-06,2,0.0054794520547945,1.018584508329766,0.10999999999999943,0.008580343213728504
SPY251006C00658000,2025-10-03 19:55:00+00:00,658.0,11.8,11.16,11.27,-0.14999962,-1.255227,112.0,791,0.0835052587890625,True,REGULAR,USD,call,2025-10-06,669.2100219726562,2025-10-06,2,0.0054794520547945,1.0170365075572283,0.10999999999999943,0.009322033898305037
SPY251006C00659000,2025-10-03 19:59:00+00:00,659.0,10.27,10.19,10.3,-0.54999924,-5.0831723,314.0,818,0.083016982421875,True,REGULAR,USD,call,2025-10-06,669.2100219726562,2025-10-06,2,0.0054794520547945,1.0154932048143497,0.11000000000000121,0.010710808179162727
SPY251006C00660000,2025-10-03 20:05:22+00:00,660.0,9.27,9.22,9.33,-0.8299999,-8.217821,596.0,1366,0.0808197387695312,True,REGULAR,USD,call,2025-10-06,669.2100219726562,2025-10-06,2,0.0054794520547945,1.0139545787464488,0.10999999999999943,0.011866235167205981
