contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type,expiration,spot_price,expiration_date,days_to_expiration,T,moneyness,bid_ask_spread,spread_pct,computed_iv,iv_diff,moneyness_bin,tte_bin
SPY251006C00620000,2025-10-03 19:10:02+00:00,620.0,49.91,47.6,50.41,6.329998,14.525006,459.0,1,0.5122119091796875,True,REGULAR,USD,call,2025-10-06,669.2100219726562,2025-10-06,2,0.0054794520547945,1.0793710031817036,2.809999999999995,0.0563013424163493,0.6160362558429808,0.10382434666329332,"(1.05, 1.2]","(0, 30]"
SPY251006C00639000,2025-10-02 15:17:15+00:00,639.0,32.33,28.64,31.45,3.5100021,12.1790495,30.0,50,0.354376573486328,True,REGULAR,USD,call,2025-10-06,669.2100219726562,2025-10-06,2,0.0054794520547945,1.0472770296911678,2.8099999999999987,0.0869161769254562,0.5781928179849615,0.22381624449863347,"(0.95, 1.05]","(0, 30]"
SPY251006C00640000,2025-10-03 19:36:27+00:00,640.0,30.09,27.65,30.45,0.8500004,2.9069781,10.0,7,0.3455875988769531,True,REGULAR,USD,call,2025-10-06,669.2100219726562,2025-10-06,2,0.0054794520547945,1.0456406593322751,2.8000000000000007,0.0930541708208707,0.4287499633414618,0.0831623644645087,"(0.95, 1.05]","(0, 30]"
SPY251006C00654000,2025-10-03 14:41:26+00:00,654.0,16.46,15.07,15.21,0.86999893,5.5804935,11.0,295,0.062509375,True,REGULAR,USD,call,2025-10-06,669.2100219726562,2025-10-06,2,0.0054794520547945,1.0232569143312786,0.1400000000000005,0.008505467800729,0.29862544816063735,0.23611607316063735,"(0.95, 1.05]","(0, 30]"
SPY251006C00657000,2025-10-03 19:54:50+00:00,657.0,12.82,12.14,12.25,-0.39000034,-2.9523115,137.0,522,0.08399353515625,True,REGULAR,USD,call,2025-10-06,669.2100219726562,2025-10-06,2,0.0054794520547945,1.018584508329766,0.1099999999999994,0.0085803432137285,0.19753015896404466,0.11353662380779467,"(0.95, 1.05]","(0, 30]"
SPY251006C00658000,2025-10-03 19:55:00+00:00,658.0,11.8,11.16,11.27,-0.14999962,-1.255227,112.0,791,0.0835052587890625,True,REGULAR,USD,call,2025-10-06,669.2100219726562,2025-10-06,2,0.0054794520547945,1.0170365075572283,0.1099999999999994,0.009322033898305,0.18339978274177796,0.09989452395271546,"(0.95, 1.05]","(0, 30]"
SPY251006C00661000,2025-10-03 19:55:26+00:00,661.0,8.67,8.26,8.37,-0.32999992,-3.6666658,321.0,769,0.0783783569335937,True,REGULAR,USD,call,2025-10-06,669.2100219726562,2025-10-06,2,0.0054794520547945,1.0124206081280729,0.1099999999999994,0.0126874279123413,0.13317977400590442,0.05480141707231072,"(0.95, 1.05]","(0, 30]"
SPY251006C00664000,2025-10-03 20:14:16+00:00,664.0,5.36,5.46,5.54,-1.1299996,-17.411396,726.0,1468,0.0681245532226562,True,REGULAR,USD,call,2025-10-06,669.2100219726562,2025-10-06,2,0.0054794520547945,1.0078464186335183,0.08,0.0149253731343283,0.043608748922543156,0.024515804300113048,"(0.95, 1.05]","(0, 30]"
SPY251006C00665000,2025-10-03 20:14:27+00:00,665.0,4.48,4.55,4.63,-1.1700001,-20.707966,1665.0,2356,0.0642183422851562,True,REGULAR,USD,call,2025-10-06,669.2100219726562,2025-10-06,2,0.0054794520547945,1.0063308601092575,0.08,0.0178571428571428,0.06435775208984601,0.0001394098046898079,"(0.95, 1.05]","(0, 30]"
SPY251006C00666000,2025-10-03 20:14:46+00:00,666.0,3.69,3.7,3.76,-1.19,-24.385246,2376.0,1691,0.0606783386230468,True,REGULAR,USD,call,2025-10-06,669.2100219726562,2025-10-06,2,0.0054794520547945,1.0048198528117962,0.0599999999999996,0.0162601626016259,0.07233104293141202,0.011652704308365215,"(0.95, 1.05]","(0, 30]"
